Designator,Mid X,Mid Y,Rotation,Layer
BT1,111.9875,-92.86875,270.0,bottom
C1,146.8625,-92.86875,0.0,bottom
C10,140.49375,-83.34375,180.0,bottom
C11,141.26875,-85.725,180.0,bottom
C12,119.0625,-69.05625,90.0,top
C2,157.1625,-95.25,270.0,bottom
C3,119.0625,-71.4375,0.0,top
C4,126.20625,-95.25,180.0,top
C5,109.5375,-59.53125,0.0,top
C6,116.68125,-59.53125,180.0,top
C7,159.54375,-95.25,270.0,bottom
C8,161.575,-95.25,270.0,bottom
C9,135.73125,-88.10625,180.0,bottom
D1,162.7125,-52.3875,180.0,top
D2,156.35625,-52.3875,0.0,top
D3,119.85,-52.3875,0.0,top
J1,136.68375,-95.25,270.0,top
J2,164.30625,-85.725,90.0,top
L1,157.1625,-80.9625,270.0,bottom
OL1,135.73125,-64.21675,0.0,top
R1,161.01875,-54.76875,0.0,top
R2,157.9125,-54.76875,180.0,top
R3,154.78125,-92.86875,0.0,bottom
R4,154.78125,-95.25,270.0,bottom
R5,157.1625,-88.10625,0.0,top
R6,157.1625,-85.725,0.0,top
R7,135.73125,-80.9625,180.0,bottom
R8,138.1125,-88.10625,90.0,bottom
SW1,147.6375,-85.725,0.0,top
SW2,126.20625,-85.725,0.0,top
SW3,109.5375,-81.08125,90.0,top
U1,112.51875,-67.275,270.0,top
U2,150.30675,-92.86875,0.0,bottom
U3,135.73125,-84.29375,180.0,bottom
U4,159.4175,-66.675,0.0,top
Y1,111.86,-54.76875,0.0,top
